729011,Skipper D,2012-09-11 13:13:00,1970,"I have the chance to get out for the rest of the day and fish Simcoe in my boat , Any one care to join up for the day . Perch & Bass ..........................................."
729018,Roy,2012-09-11 13:52:00,13728,Why don't you just get up and go? You'll lose another 3 hours of fishing time just waiting for someone to show up.
729020,Skipper D,2012-09-11 13:56:00,1970,"Your right Roy , times a wasting , i'll be gone once am sign out .  "
729131,davey buoy,2012-09-11 20:43:00,5505,"Still a nice gesture Ron!,but youse a wastin time lol."
729229,Skipper D,2012-09-12 01:20:00,1970,"Coming of the lake a short while ago as i turned to come in Kempenfelt  . With my haul and fish in hand , i waltz her right down the bay , water was a bit choppy but none the less it was a great day to be fish'in . Now she's time to make some fillets ."
729237,Joey,2012-09-12 01:41:00,9122,Nice fish and nice sunset pic
729238,mercman,2012-09-12 01:42:00,7054,Nice pics Ron.Good to see ya enjoying the summers wind down.
729252,Skipper D,2012-09-12 02:37:00,1970,"Fillets are put away , can't wait for dinner tomorow night .. lol , thanks for the good comments there folks , tight lines til the next time ."
729373,d_paluch,2012-09-12 18:02:00,343,I have a cottage on fox island...and have yet to target in on ANY fish. Here right now and frying frustrated wasting gas haha  Help a brother out  Nice pics by the way! Time to go cut down a big tree that went down on labour day.....
729437,Skipper D,2012-09-12 23:22:00,1970,I PUSHED THE WRONG BUTTON AGAIN ......
729439,Skipper D,2012-09-12 23:25:00,1970,"  If your on Fox , you must have seen me last night trolling around the island , i was the only boat out there ,  you might want to send me a PM .......LOL"
